"","1"
"histologic_diagnosis",0.042819455018292
"tumor_sample_type",0
"history_neoadjuvant_treatment",0
"anatomic_neoplasm_subdivision",0.00159946663534998
"pharmaceutical_therapy_type",-0.253999932478762
"prospective_collection",0.926648256339061
"retrospective_collection",-2.02090239211159e-14
"gender",0
"history_other_malignancy",0
"initial_pathologic_dx_year",0.485808394587687
"age_at_diagnosis",0.0131949284884523
"ajcc_tumor_pathologic_pt",0.10492171212669
"ajcc_nodes_pathologic_pn",0.0157739617926519
"ajcc_metastasis_pathologic_pm",0
"er_status_by_ihc",-0.348308178488786
"pr_status_by_ihc",0
"days_to_initial_pathologic_diagnosis",0
"histological_type",0
"icd_o_3_histology",-0.0343058586519509
"icd_o_3_site",-0.225486811561978
"tissue_source_site",-0.0168412936362468
"tumor_tissue_site",0
"drug_tx_indicator",-0.16711514980323
"malignancy_type",0
"radiation_tx_indicator",0
