"","1"
"histologic_diagnosis",0
"tumor_sample_type",0
"history_neoadjuvant_treatment",0
"anatomic_neoplasm_subdivision",-0.000706809883561793
"pharmaceutical_therapy_type",-0.262271738077534
"prospective_collection",0.821083981338011
"retrospective_collection",-2.91586315954442e-14
"gender",0
"history_other_malignancy",0
"initial_pathologic_dx_year",0.423215733619635
"age_at_diagnosis",0.0133982309106907
"ajcc_tumor_pathologic_pt",0.0578737933146889
"ajcc_nodes_pathologic_pn",0.0300898241457826
"ajcc_metastasis_pathologic_pm",0
"er_status_by_ihc",-0.273850172271649
"pr_status_by_ihc",0
"days_to_initial_pathologic_diagnosis",0
"histological_type",0
"icd_o_3_histology",-0.0161127555342114
"icd_o_3_site",-0.110873268606224
"tissue_source_site",-0.0154435687989805
"tumor_tissue_site",0
"drug_tx_indicator",0
"malignancy_type",0
"radiation_tx_indicator",0
