"","1"
"histologic_diagnosis",0
"tumor_sample_type",0
"history_neoadjuvant_treatment",0
"anatomic_neoplasm_subdivision",0
"pharmaceutical_therapy_type",-0.257617483580231
"prospective_collection",0.661968525792221
"retrospective_collection",-1.99694262911267e-14
"gender",0
"history_other_malignancy",0
"initial_pathologic_dx_year",0.455169295739742
"age_at_diagnosis",0.0132318013044767
"ajcc_tumor_pathologic_pt",0.110443993957431
"ajcc_nodes_pathologic_pn",0.0221961619839883
"ajcc_metastasis_pathologic_pm",0
"er_status_by_ihc",-0.388603303414639
"pr_status_by_ihc",0
"days_to_initial_pathologic_diagnosis",0
"histological_type",0
"icd_o_3_histology",0
"icd_o_3_site",-0.0650197082871952
"tissue_source_site",-0.00293579465070208
"tumor_tissue_site",0
"drug_tx_indicator",0
"malignancy_type",0
"radiation_tx_indicator",0
