"","1"
"histologic_diagnosis",0.00382827408448396
"tumor_sample_type",0
"history_neoadjuvant_treatment",0
"anatomic_neoplasm_subdivision",-0.00218183666865565
"pharmaceutical_therapy_type",-0.236781441311428
"prospective_collection",0.938102362037496
"retrospective_collection",-3.04236119739038e-14
"gender",0
"history_other_malignancy",0
"initial_pathologic_dx_year",0.431631430445669
"age_at_diagnosis",0.0165200821717565
"ajcc_tumor_pathologic_pt",0.058487317229402
"ajcc_nodes_pathologic_pn",0.0274849510948557
"ajcc_metastasis_pathologic_pm",0
"er_status_by_ihc",-0.393244398687411
"pr_status_by_ihc",0
"days_to_initial_pathologic_diagnosis",0
"histological_type",0
"icd_o_3_histology",-0.0253606519114826
"icd_o_3_site",-0.104570216342079
"tissue_source_site",-0.0102935712082063
"tumor_tissue_site",0
"drug_tx_indicator",0
"malignancy_type",0
"radiation_tx_indicator",0
